topic_id,category_id,post_count,avg_score
117178,21,9,26.666666666666668
117211,7,2,343.7
11723,8,3,673.2666666666667
11725,7,2,179.79999999999998
117295,7,1,157.2
117320,7,5,413.91999999999996
117321,7,2,513.7
117336,7,3,141.93333333333334
117348,19,1,16.2
117380,19,2,70.8
117391,19,2,94.3
117418,7,17,3326.5411764705887
117429,19,31,737.5419354838712
117438,7,8,596.7999999999998
117467,19,1,50.8
117478,19,2,1320.2
117482,7,10,12.179999999999998
117483,19,1,21.2
117485,7,6,559.6999999999999
117502,7,1,92.4
117536,7,4,39.7
117550,19,3,19.133333333333336
117607,19,1,71.2
117635,7,3,10.799999999999999
117641,19,4,23.5
117645,19,9,23.688888888888886
11764,7,7,198.62857142857146
117660,19,2,116.7
11767,7,2,25.4
117686,19,1,126.8
117689,19,2,109.0
11769,8,2,16.200000000000003
11770,7,9,78.86666666666667
11785,7,8,164.45
11786,7,2,330.59999999999997
11791,21,2,110.9
117924,7,7,559.8285714285714
117936,19,1,95.4
11795,21,2,404.8
117970,7,2,236.0
117979,7,4,54.35
117984,19,2,35.7
117996,19,66,1308.2060606060606
118007,7,20,914.2899999999997
118012,21,1,79.2
118016,7,10,308.81999999999994
118023,19,11,165.58181818181822
118061,7,3,210.5333333333333
118067,19,1,3325.4
118095,21,4,34.75
118127,19,1,91.2
11812,7,2,181.2
118154,7,3,841.6666666666666
118188,7,2,1576.4
11818,7,2,310.09999999999997
118205,7,2,182.4
118257,21,5,3509.72
118262,7,8,440.32499999999993
118285,7,1,48.6
118299,7,4,138.65
1182,21,5,18.800000000000004
11834,7,2,803.0
118383,19,2,19.200000000000003
11838,7,2,199.9
118397,19,48,165.51250000000002
118416,7,7,362.2857142857143
118439,21,1,493.0
11843,7,11,113.09090909090911
118455,19,2,317.59999999999997
11847,7,15,211.08
1184,21,2,34.4
118509,7,14,226.4
11853,7,28,535.1571428571428
11855,7,2,602.5
118578,19,2,8.0
11865,21,2,23.9
118691,7,1,277.6
11875,7,5,2402.32
118776,7,18,1971.8999999999999
118829,19,5,49.32
11884,21,4,26.849999999999998
118861,19,3,212.26666666666665
118865,21,1,609.6
118933,21,1,87.2
118969,19,17,28.588235294117652
11897,7,5,173.48000000000002
118982,7,3,790.7333333333335
119004,19,3,154.8
119037,19,2,177.5
11906,21,7,215.45714285714286
119083,7,9,101.28888888888888
11908,21,2,404.5
119096,7,1,622.8
119111,19,2,20.900000000000002
119112,19,1,51.4
119124,7,5,127.99999999999997
119144,7,2,129.20000000000002
11915,21,4,1648.65
119160,19,1,40.8
119167,19,1,1444.8
119175,7,31,831.9548387096773
119225,7,23,187.30434782608697
119237,19,3,19.666666666666664
11923,21,2,42.0
119252,7,5,182.64000000000001
119254,21,1,23.0
119281,8,2,423.7
119285,7,3,1438.8
119303,19,1,343.0
119308,7,5,1111.8
11937,7,9,141.4888888888889
119406,19,1,121.0
11940,7,3,66.0
119453,7,7,1171.8
11945,8,5,68.88000000000001
119524,7,1,186.4
11952,7,6,1018.3666666666667
119535,7,2,128.5
119560,7,1,651.6
119563,21,6,427.7333333333333
119586,19,5,106.24000000000001
119605,19,1,9982.4
11961,7,2,72.1
119636,21,1,53.8
119648,19,1,41.2
119715,7,3,612.4666666666667
119728,7,11,158.79999999999998
119738,19,2,1726.0
119742,7,6,1397.466666666667
119755,19,1,65.8
119768,19,1,65.8
11984,7,4,973.3000000000001
119851,7,4,5843.449999999999
119875,7,2,163.9
119925,19,1,1296.8
11992,7,2,13.7
120022,7,1,21.4
12005,21,11,167.05454545454546
120091,21,1,27.4
120147,7,14,2139.428571428571
120182,8,10,81.18
120217,21,3,528.6666666666666
120243,19,1,26.0
120326,19,5,142.44
120327,19,27,1193.8518518518517
120359,19,1,93.6
120368,19,1,1704.4
120374,19,15,101.30666666666664
12037,7,9,105.64444444444445
120441,7,5,524.64
12044,7,14,90.37142857142854
12045,7,4,35.25
120460,14,2,435.59999999999997
120554,19,3,56.333333333333336
120559,19,1,31.0
120571,19,2,11.200000000000001
120616,21,4,673.65
120635,7,3,584.9333333333333
120682,19,3,3444.3333333333335
